Language,Remarks,Family,Branch,First-language,Second-language,Total speakers
English,excl. creole languages,Indo-European,Germanic,380000000,1077000000,1456000000
Mandarin Chinese,"incl. Standard Chinese, but excl. other varieties",Sino-Tibetan,Sinitic,939000000,199000000,1138000000
Hindi,excl. Urdu,Indo-European,Indo-Aryan,345000000,266000000,610000000
Spanish,excl. creole languages,Indo-European,Romance,485000000,74000000,559000000
French,excl. creole languages,Indo-European,Romance,81000000,229000000,310000000
Arabic,excl. dialects,Afro-Asiatic,Semitic,0000000[a],274000000,274000000
Bengali,,Indo-European,Indo-Aryan,234000000,39000000,273000000
Portuguese,excl. creole languages,Indo-European,Romance,236000000,27000000 ,264000000
Russian,,Indo-European,Balto-Slavic,147000000,108000000,255000000
Urdu,excl. Hindi,Indo-European,Indo-Aryan,71000000,161000000,232000000
Indonesian,excl. other Malay,Austronesian,Malayo-Polynesian,44000000,155000000,199000000
German,,Indo-European,Germanic,75000000,58000000,133000000
Japanese,,Japonic,—,123000000,0000000.2000000,123000000
Nigerian Pidgin,,English Creole,Krio,5000000,116000000,121000000
Egyptian Arabic,excl. other Arabic dialects,Afro-Asiatic,Semitic,77000000,25000000,102000000
Marathi,,Indo-European,Indo-Aryan,83000000,16000000,99000000
Telugu,,Dravidian,South-Central,83000000,13000000,96000000
Turkish,,Turkic,Oghuz,84000000,6000000,90000000
Tamil,,Dravidian,Southern,79000000,8000000,87000000
Yue Chinese,incl. Cantonese,Sino-Tibetan,Sinitic,86000000,1000000,87000000
Vietnamese,,Austroasiatic,Vietic,85000000,1000000,86000000
Wu Chinese,incl. Shanghainese,Sino-Tibetan,Sinitic,83000000,0000000.1000000,83000000
Tagalog,,Austronesian,Malayo-Polynesian,29000000,54000000,83000000
Korean,,Koreanic,—,82000000,—,82000000
Iranian Persian,excl. other Persian dialects,Indo-European,Iranian,57000000,21000000,79000000
Hausa,,Afro-Asiatic,Chadic,52000000,27000000,79000000
Swahili,,Niger–Congo,Bantu,16000000,55000000,72000000
Javanese,,Austronesian,Malayo-Polynesian,—,—,68000000
Italian,,Indo-European,Romance,65000000,3000000,68000000
Western Punjabi,excl. Eastern Punjabi,Indo-European,Indo-Aryan,—,—,67000000
Gujarati,,Indo-European,Indo-Aryan,57000000,5000000,62000000
Thai,,Kra–Dai,Zhuang–Tai,21000000,40000000,61000000
Kannada,,Dravidian,Southern,44000000,15000000,59000000
Amharic,,Afro-Asiatic,Semitic,32000000,25000000,58000000
Bhojpuri,,Indo-European,Indo-Aryan,52000000,0000000.2000000,52000000
Eastern Punjabi,excl. Western Punjabi,Indo-European,Indo-Aryan,48000000,4000000,52000000
Min Nan Chinese,incl. Hokkien,Sino-Tibetan,Sinitic,50000000,0000000.4000000,50000000
Jin Chinese,,Sino-Tibetan,Sinitic,—,—,48000000
Levantine Arabic,excl. other Arabic dialects,Afro-Asiatic,Semitic,47000000,0000000.4000000,48000000
Yoruba,,Niger–Congo,Atlantic–Congo,44000000,2000000,46000000
